cntry,news,polintr,vote,age,gndr,eduyrs,edutype,pdwrk,hincfel,pstplonl,contplt,netusoft,netustm,trstplt,trstprt,cptppola
SE,120,1,1,80,Male,19,Universitetsuddannelse,1,1,2,1,5,120,3,4,3
SE,60,3,1,60,Male,13,Gymnasial uddannelse,1,1,2,2,5,180,7,6,1
SE,240,1,1,75,Male,15,Gymnasial uddannelse,0,1,2,2,5,210,6,6,3
SE,180,2,1,69,Female,11,Gymnasial uddannelse,0,1,2,2,5,120,7,6,3
SE,120,3,1,74,Female,12,Grundskole,0,1,2,2,5,105,5,5,1
SE,120,2,1,76,Male,NA,Universitetsuddannelse,0,1,2,1,3,NA,1,5,4
SE,120,1,1,79,Male,16,Universitetsuddannelse,0,1,1,2,5,90,7,7,4
SE,60,2,1,65,Female,17,Universitetsuddannelse,0,1,2,2,5,105,4,5,4
SE,30,1,1,46,Male,17,Universitetsuddannelse,1,1,2,1,5,60,5,7,3
SE,15,3,1,49,Female,21,Universitetsuddannelse,1,2,1,1,5,240,NA,NA,2
SE,30,3,1,48,Female,17,Universitetsuddannelse,1,1,2,2,5,300,7,6,4
SE,60,1,1,26,Female,12,Gymnasial uddannelse,1,1,2,2,5,660,6,5,4
SE,180,1,1,65,Female,11,Gymnasial uddannelse,1,1,1,2,5,480,1,1,3
SE,NA,3,1,44,Male,20,Gymnasial uddannelse,0,2,2,2,5,180,3,2,3
SE,60,2,1,80,Female,13,Videregående uddannelse,0,1,2,1,5,30,7,5,3
SE,60,2,1,71,Female,11,Gymnasial uddannelse,1,2,2,2,5,90,5,5,2
SE,30,2,1,46,Male,16,Universitetsuddannelse,1,2,2,2,5,240,7,7,3
SE,90,2,1,57,Female,19,Universitetsuddannelse,1,1,2,2,5,120,7,6,3
SE,60,3,1,55,Male,11,Gymnasial uddannelse,1,1,2,2,5,120,8,8,3
SE,0,2,1,30,Female,17,Universitetsuddannelse,0,1,1,2,5,360,7,7,3
SE,90,1,1,65,Male,12,Gymnasial uddannelse,1,2,2,2,5,180,1,1,5
SE,20,3,1,46,Female,16,Universitetsuddannelse,1,2,2,2,5,600,6,6,4
SE,120,2,1,90,Female,15,Universitetsuddannelse,0,1,2,2,2,NA,4,5,3
SE,180,3,1,76,Female,13,Videregående uddannelse,0,2,2,2,4,60,3,3,1
SE,40,2,1,20,Male,9,Grundskole,1,3,1,1,5,292,1,1,2
SE,20,1,1,40,Male,19,Universitetsuddannelse,1,1,1,1,5,120,7,7,4
SE,90,2,1,38,Female,18,Universitetsuddannelse,1,1,1,2,5,360,5,5,3
SE,30,2,1,48,Female,13,Videregående uddannelse,1,1,1,2,5,600,3,3,3
SE,30,2,1,65,Male,10,Videregående uddannelse,0,1,2,2,5,60,6,7,3
SE,5,4,1,30,Male,12,Gymnasial uddannelse,1,1,2,1,5,240,2,4,1
SE,30,3,1,59,Male,11,Gymnasial uddannelse,1,1,2,2,5,180,3,3,3
SE,60,2,1,79,Male,8,Grundskole,0,2,2,2,5,120,4,3,3
SE,80,2,1,74,Female,13,Gymnasial uddannelse,0,1,2,2,5,150,4,6,3
SE,30,2,1,60,Male,12,Gymnasial uddannelse,1,2,2,2,5,30,5,5,2
SE,120,1,1,58,Male,12,Gymnasial uddannelse,1,1,2,2,5,600,7,8,1
SE,120,2,1,68,Female,19,Universitetsuddannelse,0,1,1,2,5,360,4,2,3
SE,60,1,1,43,Male,18,Universitetsuddannelse,1,1,2,2,5,240,8,8,4
SE,30,2,1,36,Female,12,Gymnasial uddannelse,0,1,2,2,5,480,5,5,1
SE,30,2,1,26,Female,12,Videregående uddannelse,1,2,1,2,5,480,4,5,4
SE,30,3,1,71,Male,10,Grundskole,0,2,2,2,3,NA,3,3,1
SE,120,2,1,56,Female,18,Universitetsuddannelse,1,1,2,2,5,180,5,6,4
SE,120,2,1,46,Female,18,Universitetsuddannelse,1,1,2,2,5,360,4,2,3
SE,45,2,1,59,Male,12,Videregående uddannelse,1,4,2,2,5,120,5,6,4
SE,60,1,1,68,Female,15,Videregående uddannelse,0,1,2,2,5,330,6,6,1
SE,120,3,1,30,Male,15,Videregående uddannelse,0,1,2,2,5,360,6,6,2
SE,150,1,1,85,Male,17,Videregående uddannelse,0,1,1,1,5,210,6,8,2
SE,15,4,2,66,Male,17,Gymnasial uddannelse,1,1,2,2,5,840,1,2,1
SE,10,3,2,20,Male,12,Gymnasial uddannelse,1,4,2,2,1,NA,5,7,3
