"","height","books","receipt","petowner","dog","cat","bird","fish","rodent","snake","turtle","other","gender","region","year"
"87",1.62,60,164,2,0,0,0,0,0,0,0,0,2,3,2023
"88",168,25,86.25,2,0,0,0,0,0,0,0,0,2,1,2023
"89",168,35,182.5,2,0,0,0,0,0,0,0,0,2,2,2023
"90",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2023
"91",172,30,111.5,1,1,0,0,0,0,0,0,0,2,1,2023
"92",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2023
"93",171,20,300.9,2,0,0,0,0,0,0,0,0,2,2,2023
"94",168,960,111.7,2,0,0,0,0,0,0,0,0,2,2,2023
"95",165,74,318,1,0,0,0,0,1,0,0,0,2,1,2023
"96",165,146,38.52,1,0,1,0,0,0,0,0,0,2,2,2023
"97",183,20,45.33,2,0,0,0,0,0,0,0,0,2,2,2023
"98",175,70,326.3,1,0,1,0,0,0,0,0,0,2,1,2023
"99",191,10,136.3,1,1,0,0,0,0,0,0,0,1,1,2023
"100",157,10,45.5,2,0,0,0,0,0,0,0,0,2,1,2023
"101",190,40,110,2,0,0,0,0,0,0,0,0,1,2,2023
"102",175,150,46.95,2,0,0,0,0,0,0,0,0,1,6,2023
"103",157.5,32,172,2,0,0,0,0,0,0,0,0,2,2,2023
"104",160,60,146,1,0,1,0,0,0,0,0,0,2,2,2023
"105",173,20,88.67,1,1,0,0,0,0,0,0,0,2,1,2023
"106",170,115,256.3,2,0,0,0,0,0,0,0,0,2,2,2023
"107",162,10,NA,2,0,0,0,0,0,0,0,0,2,2,2023
"108",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2023
"109",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2023
"110",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2023
"111",165,25,44.95,1,1,0,0,0,0,0,0,0,2,1,2023
"112",165,30,50.8,1,0,1,0,0,0,0,0,0,2,4,2023
"113",182,132,30,2,0,0,0,0,0,0,0,0,1,3,2023
"114",183,25,189.2,2,0,0,0,0,0,0,0,0,1,2,2023
"115",191,47,70.95,2,0,0,0,0,0,0,0,0,1,3,2023
"116",180,130,129.3,2,0,0,0,0,0,0,0,0,2,1,2023
"117",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2023
"118",164,55,29,1,1,0,0,0,0,0,0,0,2,1,2023
"119",187,52,108,2,0,0,0,0,0,0,0,0,1,2,2023
"120",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2024
"121",173,104,250.45,1,0,0,0,0,0,0,1,0,2,2,2024
"122",170,20,137.7,1,1,0,0,0,0,0,0,0,2,1,2024
"123",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2024
"124",166,26,387.04,1,0,1,0,0,0,0,0,0,2,1,2024
"125",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2024
"126",NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2024
"127",175,13,18.95,2,0,0,0,0,0,0,0,0,1,1,2024
"128",176,67,194.3,2,0,0,0,0,0,0,0,0,2,3,2024
"129",168,23,349.5,2,0,0,0,0,0,0,0,0,2,3,2024
